iso3,country,first_period,last_valid_period,valid_months_through_cutoff,complete_run_ending_at_cutoff,recent_reported_months,data_screening,cusum_eligibility,forecast_eligibility,revision_comparison
JAM,Jamaica,2015-01,2026-06,113,29,50,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
JOR,Jordan,2012-01,2026-06,152,40,58,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
JPN,Japan,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
KAZ,Kazakhstan,2012-01,2026-06,153,42,57,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
KEN,Kenya,2012-01,2026-06,169,6,55,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
KGZ,Kyrgyzstan,2012-01,2026-04,146,0,57,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
KHM,Cambodia,2012-01,2026-06,168,9,55,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
KIR,Kiribati,2012-12,2026-06,15,1,6,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
KNA,Saint Kitts and Nevis,2016-09,2026-03,12,0,5,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
KOR,Republic of Korea,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
KWT,Kuwait,2012-01,2026-06,149,45,59,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
LAO,Lao People's Democratic Republic,2012-01,2026-06,171,30,57,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
LBN,Lebanon,2012-01,2026-06,156,54,54,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
LBR,Liberia,2012-01,2026-06,108,6,45,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
LBY,Libya,2012-02,2026-06,152,66,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
LCA,Saint Lucia,2019-02,2026-06,22,1,18,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
LKA,Sri Lanka,2012-01,2026-06,171,59,59,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
LSO,Lesotho,2012-01,2026-06,165,6,56,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
LTU,Lithuania,2012-01,2026-05,110,0,22,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
LUX,Luxembourg,2012-01,2026-04,102,0,16,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
LVA,Latvia,2012-01,2026-06,102,5,10,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
